TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
0:0,346,329,347,29.40,32.00
0:0,346,330,347,29.40,32.00
0:0,346,330,349,29.40,32.00
0:0,346,328,348,29.40,32.00
0:0,346,329,349,29.30,32.00
0:0,347,328,348,29.30,32.00
0:0,346,327,347,29.30,32.00
0:0,345,327,347,29.30,32.00
0:0,346,329,348,29.30,32.00
0:0,345,329,348,29.30,32.00
0:0,346,330,347,29.30,32.00
0:0,346,329,347,29.30,32.00
0:0,346,327,349,29.40,32.00
0:0,346,330,350,29.40,32.00
0:0,346,327,346,29.40,32.00
0:0,346,328,347,29.40,32.00
0:0,346,329,347,29.40,32.00
0:0,345,330,349,29.40,32.00
0:0,346,329,347,29.40,32.00
0:0,346,326,347,29.40,32.00
0:0,346,328,349,29.40,32.00
0:0,346,328,348,29.40,32.00
0:0,346,329,349,29.40,32.00
0:0,346,329,348,29.40,32.00
0:0,346,328,349,29.50,32.00
0:0,346,327,347,29.50,32.00
0:0,346,327,348,29.50,32.00
0:0,346,329,348,29.50,32.00
0:0,346,329,349,29.50,33.00
0:0,346,330,347,29.50,33.00
0:0,346,329,347,29.50,33.00
0:0,346,327,346,29.50,33.00
0:0,346,330,349,29.50,32.00
0:0,346,329,347,29.50,32.00
0:0,346,328,347,29.50,32.00
0:0,346,328,348,29.50,32.00
0:0,346,328,347,29.40,32.00
0:0,346,329,347,29.40,32.00
0:0,345,330,349,29.40,32.00
0:0,345,327,348,29.40,32.00
0:0,346,328,348,29.60,33.00
0:0,346,330,349,29.60,33.00
0:0,346,330,347,29.60,33.00
0:0,346,328,346,29.60,33.00
0:0,346,329,348,29.60,34.00
0:0,346,331,348,29.60,34.00
0:0,346,329,350,29.60,34.00
0:0,346,326,346,29.60,34.00
0:0,346,329,347,29.60,34.00
0:0,345,330,349,29.60,34.00
0:0,346,330,350,29.60,34.00
0:0,346,326,348,29.60,34.00
0:0,346,329,349,29.60,35.00
0:0,346,327,349,29.60,35.00
0:0,346,329,349,29.60,35.00
0:0,345,328,347,29.60,35.00
0:0,346,327,348,29.50,35.00
0:0,346,330,349,29.50,35.00
0:0,345,330,350,29.50,35.00
0:0,346,329,348,29.50,35.00
0:0,346,328,349,29.60,35.00
0:0,346,330,349,29.60,35.00
0:0,346,330,347,29.60,35.00
0:0,346,330,349,29.60,35.00
0:0,345,330,347,29.50,35.00
0:0,346,331,347,29.50,35.00
0:0,346,330,347,29.50,35.00
0:0,346,330,349,29.50,35.00
0:0,346,329,348,29.60,34.00
0:0,346,329,347,29.60,34.00
0:0,347,327,347,29.60,34.00
0:0,346,329,348,29.60,34.00
0:0,347,329,349,29.60,34.00
0:0,347,329,347,29.60,34.00
0:0,346,329,347,29.60,34.00
0:0,346,329,348,29.60,34.00
0:0,345,329,347,29.60,33.00
0:0,346,330,349,29.60,33.00
0:0,346,330,348,29.60,33.00
0:0,346,329,348,29.60,33.00
0:0,345,329,347,29.60,33.00
0:0,346,327,348,29.60,33.00
0:0,346,329,348,29.60,33.00
0:0,346,330,349,29.60,33.00
0:0,346,328,347,29.60,33.00
0:0,346,327,349,29.60,33.00
0:0,346,328,348,29.60,33.00
0:0,345,327,348,29.60,33.00
0:0,345,329,347,29.60,33.00
0:0,346,330,349,29.60,33.00
0:0,345,327,347,29.60,33.00
0:0,345,329,349,29.60,33.00
0:0,344,328,348,29.60,32.00
0:0,339,330,347,29.60,32.00
0:0,340,327,348,29.60,32.00
0:0,337,327,347,29.60,32.00
0:0,340,330,347,29.60,32.00
0:0,341,329,349,29.60,32.00
0:0,337,330,349,29.60,32.00
0:0,328,330,349,29.60,32.00
0:0,310,330,349,29.60,31.00
0:0,308,330,349,29.60,31.00
0:0,300,330,347,29.60,31.00
0:0,295,329,350,29.60,31.00
0:0,294,335,352,29.60,32.00
0:0,291,331,351,29.60,32.00
0:0,291,336,351,29.60,32.00
0:0,289,333,351,29.60,32.00
0:0,290,333,351,29.60,32.00
0:0,290,335,351,29.60,32.00
0:0,290,335,353,29.60,32.00
0:0,290,335,352,29.60,32.00
0:0,290,335,350,29.70,31.00
0:0,290,335,353,29.70,31.00
0:0,289,326,341,29.70,31.00
0:0,285,325,329,29.70,31.00
0:0,284,326,323,29.70,31.00
0:0,299,324,321,29.70,31.00
0:0,301,323,314,29.70,31.00
0:0,294,321,305,29.70,31.00
0:0,292,321,299,29.60,31.00
0:0,276,319,304,29.60,31.00
0:0,280,322,308,29.60,31.00
0:0,278,319,298,29.60,31.00
0:0,282,319,311,29.70,31.00
0:0,282,323,359,29.70,31.00
0:0,283,322,326,29.70,31.00
0:0,285,326,330,29.70,31.00
0:0,287,330,339,29.60,31.00
0:0,283,331,343,29.60,31.00
0:0,283,332,345,29.60,31.00
0:0,281,331,346,29.60,31.00
0:0,277,330,346,29.70,31.00
0:0,297,327,346,29.70,31.00
0:0,308,326,346,29.70,31.00
0:0,309,325,344,29.70,31.00
0:0,327,327,347,29.70,31.00
0:0,331,327,350,29.70,31.00
0:0,330,328,350,29.70,31.00
0:0,319,323,350,29.70,31.00
0:0,324,329,351,29.70,31.00
0:0,316,328,354,29.70,31.00
0:0,298,332,354,29.70,31.00
0:0,272,329,355,29.70,31.00
0:0,241,334,357,29.70,31.00
0:0,245,333,356,29.70,31.00
0:0,247,336,367,29.70,31.00
0:0,251,352,390,29.70,31.00
0:0,250,376,391,29.70,31.00
0:0,243,377,393,29.70,31.00
0:0,233,375,395,29.70,31.00
0:0,233,373,396,29.70,31.00
0:0,235,356,369,29.70,31.00
0:0,233,374,354,29.70,31.00
0:0,236,373,351,29.70,31.00
0:0,238,373,348,29.70,31.00
0:0,256,373,346,29.80,31.00
0:0,256,346,342,29.80,31.00
0:0,251,344,340,29.80,31.00
0:0,255,337,339,29.80,31.00
0:0,255,335,341,29.70,32.00
0:0,256,335,344,29.70,32.00
