TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
254:119,592,349,399,27.50,24.00
254:119,586,349,399,27.50,24.00
254:119,585,348,398,27.50,24.00
254:119,586,349,398,27.50,24.00
254:119,585,347,398,27.40,24.00
254:119,585,346,398,27.40,24.00
254:119,585,348,398,27.40,24.00
254:119,586,348,398,27.40,24.00
254:119,591,349,396,27.50,24.00
254:119,592,350,399,27.50,24.00
254:119,591,349,396,27.50,24.00
254:119,591,348,399,27.50,24.00
254:119,589,349,399,27.50,24.00
254:119,586,350,398,27.50,24.00
254:119,582,349,397,27.50,24.00
254:119,564,347,397,27.50,24.00
254:119,553,349,397,27.50,24.00
254:119,551,349,397,27.50,24.00
254:119,553,351,396,27.50,24.00
254:119,559,350,398,27.50,24.00
254:119,577,348,398,27.50,24.00
254:119,588,348,399,27.50,24.00
254:119,589,349,397,27.50,24.00
254:119,589,350,398,27.50,24.00
254:119,589,354,404,27.50,23.00
254:119,590,348,399,27.50,23.00
254:119,589,348,398,27.50,23.00
254:119,589,349,399,27.50,23.00
254:119,588,347,398,27.60,24.00
254:119,588,347,397,27.60,24.00
254:119,588,351,402,27.60,24.00
254:119,586,352,405,27.60,24.00
254:119,571,347,398,27.60,24.00
254:119,564,349,399,27.60,24.00
254:119,562,349,401,27.60,24.00
254:119,574,349,398,27.60,24.00
254:119,581,348,397,27.60,23.00
254:119,575,349,397,27.60,23.00
254:119,580,349,400,27.60,23.00
254:119,584,346,398,27.60,23.00
254:119,586,349,396,27.60,23.00
254:119,588,349,398,27.60,23.00
254:119,590,348,398,27.60,23.00
254:119,593,345,395,27.60,23.00
254:119,592,352,399,27.60,23.00
254:119,592,350,401,27.60,23.00
254:119,592,351,396,27.60,23.00
254:119,593,348,399,27.60,23.00
254:119,592,350,399,27.60,23.00
254:119,592,351,398,27.60,23.00
254:119,592,342,391,27.60,23.00
254:119,592,349,399,27.60,23.00
254:119,592,349,399,27.60,23.00
254:119,592,348,398,27.60,23.00
254:119,592,350,400,27.60,23.00
254:119,592,347,398,27.60,23.00
254:119,592,350,399,27.60,23.00
254:119,592,348,398,27.60,23.00
254:119,592,349,398,27.60,23.00
