,Output
1142,0
31,1
210,1
881,0
363,1
777,0
1010,0
1033,0
188,1
1415,0
630,1
377,1
670,0
1181,0
48,1
155,1
847,0
1090,0
1023,0
990,0
733,0
1173,0
1034,0
179,1
322,1
1189,0
1176,0
427,1
741,0
1124,0
1187,0
361,1
1190,0
538,1
1335,1
575,1
243,1
534,1
1424,0
695,0
810,0
1280,1
1358,1
485,1
435,1
843,0
54,1
1330,1
774,0
312,1
1085,0
109,1
506,1
905,0
727,0
1210,0
618,1
296,1
451,1
859,0
636,1
286,1
1373,1
664,1
126,1
1061,0
292,1
661,1
1287,1
355,1
170,1
985,0
365,1
945,0
209,1
490,1
140,1
1036,0
1403,1
986,0
626,1
912,0
1026,0
199,1
430,1
875,0
643,1
1314,1
413,1
10,1
147,1
494,1
282,1
298,1
560,1
291,1
1074,0
1097,0
1024,0
561,1
529,1
331,1
323,1
620,1
394,1
514,1
135,1
983,0
425,1
823,0
1382,1
598,1
892,0
1196,0
158,1
924,0
1235,0
597,1
558,1
1177,0
1423,0
1227,0
551,1
1285,1
582,1
968,0
1197,0
422,1
420,1
96,1
1042,0
423,1
1309,1
410,1
583,1
807,0
156,1
567,1
589,1
1178,0
549,1
390,1
573,1
809,0
1232,0
585,1
1427,0
1362,1
308,1
680,0
578,1
1179,0
787,0
1106,0
716,0
352,1
714,0
124,1
178,1
287,1
1380,1
1408,1
294,1
581,1
479,1
792,0
707,0
888,0
236,1
88,1
844,0
1318,1
526,1
973,0
1326,1
1402,1
634,1
858,0
1306,1
290,1
285,1
765,0
1356,1
543,1
820,0
266,1
327,1
348,1
478,1
59,1
405,1
718,0
1350,1
1029,0
1231,0
482,1
915,0
1391,1
947,0
552,1
1117,0
1075,0
333,1
433,1
1165,0
1400,1
1293,1
781,0
1048,0
1388,1
1041,0
1328,1
1159,0
977,0
398,1
458,1
916,0
584,1
328,1
100,1
318,1
1101,0
83,1
129,1
934,0
12,1
171,1
260,1
743,0
782,0
724,0
138,1
1053,0
1366,1
706,0
139,1
1251,0
224,1
579,1
409,1
325,1
299,1
1313,1
672,0
610,1
1329,1
861,0
793,0
503,1
691,0
3,1
679,0
467,1
321,1
5,1
885,0
1416,0
39,1
542,1
242,1
136,1
1043,0
759,0
615,1
1365,1
1304,1
958,0
1037,0
1327,1
376,1
314,1
442,1
319,1
930,0
721,0
424,1
553,1
812,0
700,0
1331,1
1088,0
227,1
1265,0
736,0
898,0
628,1
66,1
1372,1
899,0
211,1
937,0
710,0
536,1
650,1
1269,1
85,1
1288,1
931,0
852,0
602,1
1289,1
1272,1
1406,1
906,0
273,1
849,0
362,1
2,1
6,1
311,1
976,0
1093,0
1412,1
215,1
704,0
27,1
1035,0
788,0
970,0
1261,0
1160,0
772,0
256,1
25,1
336,1
572,1
47,1
106,1
349,1
55,1
910,0
213,1
120,1
1148,0
669,0
72,1
1349,1
654,1
45,1
1206,0
523,1
1058,0
785,0
722,0
533,1
603,1
465,1
1137,0
1220,0
705,0
862,0
60,1
92,1
1249,0
194,1
280,1
359,1
519,1
950,0
923,0
182,1
110,1
1080,0
1390,1
204,1
744,0
52,1
545,1
974,0
813,0
778,0
1120,0
183,1
137,1
1144,0
80,1
1157,0
105,1
541,1
693,0
480,1
165,1
248,1
307,1
446,1
678,0
334,1
97,1
1001,0
857,0
102,1
434,1
963,0
1279,1
798,0
1298,1
302,1
1205,0
1168,0
388,1
235,1
1188,0
998,0
305,1
117,1
1156,0
673,0
249,1
1161,0
1032,0
71,1
94,1
770,0
33,1
1052,0
448,1
445,1
806,0
1092,0
819,0
953,0
77,1
84,1
757,0
82,1
457,1
997,0
676,0
1013,0
1030,0
436,1
644,1
745,0
1140,0
1139,0
404,1
1246,0
979,0
901,0
104,1
609,1
754,0
949,0
846,0
62,1
281,1
1397,1
238,1
223,1
145,1
1336,1
373,1
118,1
1078,0
250,1
1379,1
9,1
449,1
708,0
255,1
593,1
389,1
1212,0
1145,0
557,1
1230,0
762,0
460,1
723,0
1320,1
144,1
501,1
1050,0
739,0
1323,1
731,0
539,1
177,1
1381,1
697,0
855,0
978,0
932,0
817,0
1425,0
7,1
1114,0
667,1
1108,0
357,1
942,0
329,1
988,0
1096,0
1067,0
258,1
1131,0
372,1
1055,0
1386,1
142,1
525,1
1087,0
917,0
1316,1
1361,1
440,1
531,1
1146,0
226,1
1083,0
228,1
1222,0
1240,0
212,1
79,1
148,1
829,0
671,0
1103,0
1073,0
824,0
133,1
1284,1
408,1
939,0
507,1
1128,0
504,1
943,0
347,1
386,1
0,1
360,1
1353,1
475,1
1223,0
57,1
637,1
1263,0
982,0
867,0
172,1
450,1
125,1
1296,1
530,1
713,0
90,1
1385,1
181,1
918,0
786,0
414,1
251,1
69,1
803,0
131,1
300,1
1068,0
326,1
1399,1
1063,0
499,1
925,0
832,0
364,1
495,1
1333,1
338,1
421,1
164,1
28,1
516,1
193,1
903,0
1300,1
1299,1
169,1
994,0
652,1
173,1
518,1
1169,0
984,0
491,1
73,1
1195,0
587,1
750,0
657,1
842,0
234,1
732,0
214,1
162,1
132,1
1166,0
222,1
1218,0
185,1
41,1
692,0
108,1
38,1
568,1
904,0
1209,0
1376,1
483,1
468,1
890,0
24,1
952,0
948,0
68,1
884,0
1239,0
366,1
505,1
850,0
1259,0
383,1
734,0
717,0
1274,1
454,1
264,1
75,1
914,0
232,1
444,1
395,1
611,1
176,1
18,1
1252,0
989,0
341,1
1150,0
879,0
595,1
61,1
1203,0
272,1
1245,0
872,0
1070,0
1344,1
278,1
1107,0
694,0
368,1
1319,1
36,1
735,0
1271,1
662,1
1009,0
1290,1
547,1
1138,0
688,0
738,0
191,1
919,0
456,1
868,0
393,1
675,0
760,0
1409,1
728,0
419,1
375,1
412,1
74,1
1340,1
1119,0
500,1
825,0
195,1
1105,0
616,1
114,1
417,1
601,1
969,0
921,0
604,1
1370,1
89,1
848,0
1094,0
1377,1
753,0
498,1
1127,0
1375,1
1134,0
1132,0
11,1
396,1
284,1
555,1
42,1
841,0
167,1
416,1
576,1
834,0
267,1
1081,0
426,1
690,0
1174,0
1411,1
544,1
1341,1
674,0
689,0
907,0
1260,0
851,0
1401,1
159,1
895,0
987,0
1182,0
257,1
1111,0
335,1
1345,1
15,1
515,1
1004,0
324,1
1015,0
768,0
1262,0
761,0
1054,0
521,1
22,1
356,1
1214,0
340,1
431,1
473,1
217,1
911,0
1149,0
1011,0
1393,1
93,1
1008,0
696,0
996,0
153,1
1242,0
1430,0
789,0
580,1
703,0
1201,0
487,1
559,1
801,0
512,1
633,1
1276,1
790,0
116,1
740,0
830,0
119,1
656,1
635,1
369,1
268,1
655,1
935,0
822,0
866,0
46,1
1233,0
991,0
876,0
773,0
4,1
1003,0
1244,0
263,1
1374,1
1308,1
443,1
1002,0
1077,0
837,0
1278,1
304,1
1121,0
313,1
149,1
574,1
50,1
1118,0
726,0
833,0
470,1
971,0
653,1
399,1
511,1
320,1
19,1
684,0
35,1
902,0
827,0
1283,1
407,1
920,0
537,1
758,0
1062,0
245,1
784,0
489,1
154,1
961,0
853,0
625,1
685,0
569,1
1364,1
17,1
127,1
927,0
980,0
1404,1
190,1
992,0
1398,1
1286,1
606,1
180,1
301,1
496,1
1234,0
1198,0
1338,1
517,1
1069,0
476,1
157,1
16,1
1072,0
